,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_cspmulticlase__log,param_cspmulticlase__method,param_cspmulticlase__n_classes,param_cspmulticlase__n_components,param_cspmulticlase__norm_trace,param_cspmulticlase__reg,param_featureExtractor__band_values,param_featureExtractor__method,param_featureExtractor__sample_rate,param_lda__n_components,param_lda__priors,param_lda__shrinkage,param_lda__solver,param_lda__store_covariance,param_lda__tol,param_pasabanda__highcut,param_pasabanda__lowcut,param_pasabanda__notch_freq,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
9,0.08106207847595215,0.00934195977709275,0.005986738204956055,0.0011037083386211729,,ovo,3,2,False,0.01,"[8, 18]",welch,250.0,,,,svd,False,0.001,12,8,50.0,"{'cspmulticlase__log': None, 'cspmulticlase__method': 'ovo', 'cspmulticlase__n_classes': 3, 'cspmulticlase__n_components': 2, 'cspmulticlase__norm_trace': False, 'cspmulticlase__reg': 0.01, 'featureExtractor__band_values': [8, 18], 'featureExtractor__method': 'welch', 'featureExtractor__sample_rate': 250.0, 'lda__n_components': None, 'lda__priors': None, 'lda__shrinkage': None, 'lda__solver': 'svd', 'lda__store_covariance': False, 'lda__tol': 0.001, 'pasabanda__highcut': 12, 'pasabanda__lowcut': 8, 'pasabanda__notch_freq': 50.0}",0.3333333333333333,0.25,0.36363636363636365,0.45454545454545453,0.6363636363636364,0.40757575757575754,0.1317746357888418,1
10,0.08090744018554688,0.006369659297735433,0.005841588973999024,0.0004279234425750077,,ovo,3,2,False,0.01,"[8, 18]",welch,250.0,,,,svd,False,0.001,18,8,50.0,"{'cspmulticlase__log': None, 'cspmulticlase__method': 'ovo', 'cspmulticlase__n_classes': 3, 'cspmulticlase__n_components': 2, 'cspmulticlase__norm_trace': False, 'cspmulticlase__reg': 0.01, 'featureExtractor__band_values': [8, 18], 'featureExtractor__method': 'welch', 'featureExtractor__sample_rate': 250.0, 'lda__n_components': None, 'lda__priors': None, 'lda__shrinkage': None, 'lda__solver': 'svd', 'lda__store_covariance': False, 'lda__tol': 0.001, 'pasabanda__highcut': 18, 'pasabanda__lowcut': 8, 'pasabanda__notch_freq': 50.0}",0.3333333333333333,0.25,0.36363636363636365,0.45454545454545453,0.6363636363636364,0.40757575757575754,0.1317746357888418,1
16,0.08584861755371094,0.008712812510914414,0.006399345397949219,0.0014964783869856637,,ovo,3,3,False,0.01,"[8, 18]",welch,250.0,,,,svd,False,0.001,18,8,50.0,"{'cspmulticlase__log': None, 'cspmulticlase__method': 'ovo', 'cspmulticlase__n_classes': 3, 'cspmulticlase__n_components': 3, 'cspmulticlase__norm_trace': False, 'cspmulticlase__reg': 0.01, 'featureExtractor__band_values': [8, 18], 'featureExtractor__method': 'welch', 'featureExtractor__sample_rate': 250.0, 'lda__n_components': None, 'lda__priors': None, 'lda__shrinkage': None, 'lda__solver': 'svd', 'lda__store_covariance': False, 'lda__tol': 0.001, 'pasabanda__highcut': 18, 'pasabanda__lowcut': 8, 'pasabanda__notch_freq': 50.0}",0.3333333333333333,0.25,0.36363636363636365,0.45454545454545453,0.6363636363636364,0.40757575757575754,0.1317746357888418,1
15,0.08478279113769531,0.005341145334824247,0.0061530590057373045,0.0007692330533267753,,ovo,3,3,False,0.01,"[8, 18]",welch,250.0,,,,svd,False,0.001,12,8,50.0,"{'cspmulticlase__log': None, 'cspmulticlase__method': 'ovo', 'cspmulticlase__n_classes': 3, 'cspmulticlase__n_components': 3, 'cspmulticlase__norm_trace': False, 'cspmulticlase__reg': 0.01, 'featureExtractor__band_values': [8, 18], 'featureExtractor__method': 'welch', 'featureExtractor__sample_rate': 250.0, 'lda__n_components': None, 'lda__priors': None, 'lda__shrinkage': None, 'lda__solver': 'svd', 'lda__store_covariance': False, 'lda__tol': 0.001, 'pasabanda__highcut': 12, 'pasabanda__lowcut': 8, 'pasabanda__notch_freq': 50.0}",0.3333333333333333,0.25,0.36363636363636365,0.45454545454545453,0.6363636363636364,0.40757575757575754,0.1317746357888418,1
11,0.08624444007873536,0.0048164012227604166,0.006198215484619141,0.0011591695785872554,,ovo,3,2,False,0.01,"[8, 18]",welch,250.0,,,,svd,False,0.001,28,8,50.0,"{'cspmulticlase__log': None, 'cspmulticlase__method': 'ovo', 'cspmulticlase__n_classes': 3, 'cspmulticlase__n_components': 2, 'cspmulticlase__norm_trace': False, 'cspmulticlase__reg': 0.01, 'featureExtractor__band_values': [8, 18], 'featureExtractor__method': 'welch', 'featureExtractor__sample_rate': 250.0, 'lda__n_components': None, 'lda__priors': None, 'lda__shrinkage': None, 'lda__solver': 'svd', 'lda__store_covariance': False, 'lda__tol': 0.001, 'pasabanda__highcut': 28, 'pasabanda__lowcut': 8, 'pasabanda__notch_freq': 50.0}",0.3333333333333333,0.25,0.36363636363636365,0.45454545454545453,0.6363636363636364,0.40757575757575754,0.1317746357888418,1
17,0.0774153709411621,0.0014448297817899497,0.005571889877319336,0.0007443140801478258,,ovo,3,3,False,0.01,"[8, 18]",welch,250.0,,,,svd,False,0.001,28,8,50.0,"{'cspmulticlase__log': None, 'cspmulticlase__method': 'ovo', 'cspmulticlase__n_classes': 3, 'cspmulticlase__n_components': 3, 'cspmulticlase__norm_trace': False, 'cspmulticlase__reg': 0.01, 'featureExtractor__band_values': [8, 18], 'featureExtractor__method': 'welch', 'featureExtractor__sample_rate': 250.0, 'lda__n_components': None, 'lda__priors': None, 'lda__shrinkage': None, 'lda__solver': 'svd', 'lda__store_covariance': False, 'lda__tol': 0.001, 'pasabanda__highcut': 28, 'pasabanda__lowcut': 8, 'pasabanda__notch_freq': 50.0}",0.3333333333333333,0.25,0.36363636363636365,0.45454545454545453,0.6363636363636364,0.40757575757575754,0.1317746357888418,1
5,0.09103231430053711,0.010143897103982058,0.005979776382446289,4.2829162105255745e-05,,ovo,3,1,False,0.01,"[8, 18]",welch,250.0,,,,svd,False,0.001,28,8,50.0,"{'cspmulticlase__log': None, 'cspmulticlase__method': 'ovo', 'cspmulticlase__n_classes': 3, 'cspmulticlase__n_components': 1, 'cspmulticlase__norm_trace': False, 'cspmulticlase__reg': 0.01, 'featureExtractor__band_values': [8, 18], 'featureExtractor__method': 'welch', 'featureExtractor__sample_rate': 250.0, 'lda__n_components': None, 'lda__priors': None, 'lda__shrinkage': None, 'lda__solver': 'svd', 'lda__store_covariance': False, 'lda__tol': 0.001, 'pasabanda__highcut': 28, 'pasabanda__lowcut': 8, 'pasabanda__notch_freq': 50.0}",0.3333333333333333,0.25,0.36363636363636365,0.45454545454545453,0.6363636363636364,0.40757575757575754,0.1317746357888418,1
4,0.08320770263671876,0.00479412772865089,0.007346630096435547,0.0013790909245907973,,ovo,3,1,False,0.01,"[8, 18]",welch,250.0,,,,svd,False,0.001,18,8,50.0,"{'cspmulticlase__log': None, 'cspmulticlase__method': 'ovo', 'cspmulticlase__n_classes': 3, 'cspmulticlase__n_components': 1, 'cspmulticlase__norm_trace': False, 'cspmulticlase__reg': 0.01, 'featureExtractor__band_values': [8, 18], 'featureExtractor__method': 'welch', 'featureExtractor__sample_rate': 250.0, 'lda__n_components': None, 'lda__priors': None, 'lda__shrinkage': None, 'lda__solver': 'svd', 'lda__store_covariance': False, 'lda__tol': 0.001, 'pasabanda__highcut': 18, 'pasabanda__lowcut': 8, 'pasabanda__notch_freq': 50.0}",0.3333333333333333,0.25,0.36363636363636365,0.45454545454545453,0.6363636363636364,0.40757575757575754,0.1317746357888418,1
3,0.08231463432312011,0.011608403752824589,0.006203937530517578,0.0013270580154509308,,ovo,3,1,False,0.01,"[8, 18]",welch,250.0,,,,svd,False,0.001,12,8,50.0,"{'cspmulticlase__log': None, 'cspmulticlase__method': 'ovo', 'cspmulticlase__n_classes': 3, 'cspmulticlase__n_components': 1, 'cspmulticlase__norm_trace': False, 'cspmulticlase__reg': 0.01, 'featureExtractor__band_values': [8, 18], 'featureExtractor__method': 'welch', 'featureExtractor__sample_rate': 250.0, 'lda__n_components': None, 'lda__priors': None, 'lda__shrinkage': None, 'lda__solver': 'svd', 'lda__store_covariance': False, 'lda__tol': 0.001, 'pasabanda__highcut': 12, 'pasabanda__lowcut': 8, 'pasabanda__notch_freq': 50.0}",0.3333333333333333,0.25,0.36363636363636365,0.45454545454545453,0.6363636363636364,0.40757575757575754,0.1317746357888418,1
6,0.08443589210510254,0.004719855999622512,0.0065653324127197266,0.00045750692737368695,,ovo,3,2,False,0.01,"[8, 18]",welch,250.0,,,,svd,False,0.0001,12,8,50.0,"{'cspmulticlase__log': None, 'cspmulticlase__method': 'ovo', 'cspmulticlase__n_classes': 3, 'cspmulticlase__n_components': 2, 'cspmulticlase__norm_trace': False, 'cspmulticlase__reg': 0.01, 'featureExtractor__band_values': [8, 18], 'featureExtractor__method': 'welch', 'featureExtractor__sample_rate': 250.0, 'lda__n_components': None, 'lda__priors': None, 'lda__shrinkage': None, 'lda__solver': 'svd', 'lda__store_covariance': False, 'lda__tol': 0.0001, 'pasabanda__highcut': 12, 'pasabanda__lowcut': 8, 'pasabanda__notch_freq': 50.0}",0.3333333333333333,0.25,0.36363636363636365,0.36363636363636365,0.6363636363636364,0.38939393939393935,0.1303030303030303,10
